pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO
    0.0    0.88955   -2.12054E+05    2.38383E+05    2.98870E-01
    1.0    0.50978   -1.16390E+05    2.28316E+05    3.28481E-01
    3.0    0.41076   -8.70908E+04    2.12024E+05    3.76397E-01
    3.5    0.39903   -8.33780E+04    2.08953E+05    3.85431E-01
    4.0    0.39005   -8.04154E+04    2.06166E+05    3.93626E-01
    4.5    0.38325   -7.80109E+04    2.03550E+05    4.01322E-01
    5.0    0.37820   -7.61237E+04    2.01277E+05    4.08005E-01
    5.5    0.37449   -7.45324E+04    1.99026E+05    4.14627E-01
    6.0    0.37182   -7.32452E+04    1.96990E+05    4.20617E-01
    6.5    0.37013   -7.21973E+04    1.95058E+05    4.26297E-01
    7.0    0.36917   -7.13248E+04    1.93203E+05    4.31755E-01
    8.0    0.36894   -7.00380E+04    1.89837E+05    4.41654E-01
   10.0    0.37323   -6.85472E+04    1.83659E+05    4.59823E-01
   12.0    0.38068   -6.79533E+04    1.78503E+05    4.74988E-01
   15.0    0.39297   -6.77439E+04    1.72389E+05    4.92971E-01
   20.0    0.41102   -6.78593E+04    1.65101E+05    5.14408E-01
   25.0    0.42573   -6.80053E+04    1.59737E+05    5.30182E-01
   35.0    0.44647   -6.81739E+04    1.52694E+05    5.50899E-01
